FlightNum,DepTime,CRSDepTime,ArrTime,CRSArrTime,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Distance,TaxiIn,TaxiOut,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1544,1010,1015,1412,1352,182,157,158,20,-5,1091,5,19,0,0,20,0,0
678,1158,1208,1536,1510,218,182,150,26,-10,1090,55,13,0,0,26,0,0
728,952,955,1209,1146,137,111,82,23,-3,576,5,50,0,0,23,0,0
246,1308,1250,1523,1505,135,135,109,18,18,760,13,13,18,0,0,0,0
857,948,950,1207,1147,139,117,89,20,-2,581,6,44,0,0,20,0,0
908,657,700,933,915,96,75,50,18,-3,272,25,21,0,0,18,0,0
687,1953,1855,2241,2218,168,203,144,23,58,1005,3,21,23,0,0,0,0
1638,954,1000,1137,1113,103,73,43,24,-6,227,7,53,0,0,24,0,0
1538,1233,1150,2005,1925,272,275,247,40,43,2172,10,15,40,0,0,0,0
1080,937,935,1645,1630,248,235,214,15,2,1747,6,28,0,0,15,0,0
33,1845,1645,2044,1843,299,298,283,121,120,2036,5,11,0,0,121,0,0
1618,1732,1733,2010,1955,158,142,123,15,-1,859,8,27,0,0,15,0,0
130,840,825,1417,1400,217,215,195,17,15,1589,7,15,15,0,2,0,0
98,1759,1430,2048,1744,169,194,136,184,209,1069,20,13,184,0,0,0,0
1781,1154,1106,1323,1239,89,93,66,44,48,445,6,17,44,0,0,0,0
880,806,810,1015,948,129,98,65,27,-4,406,52,12,0,0,27,0,0
5299,941,942,1101,1045,80,63,35,16,-1,191,3,42,0,0,16,0,0
5469,1404,1349,1653,1629,109,100,85,24,15,533,8,16,2,0,9,0,13
5258,1645,1650,1842,1825,117,95,72,17,-5,432,39,6,0,0,17,0,0
5334,953,955,1118,1054,85,59,28,24,-2,146,3,54,0,0,24,0,0
5529,2054,2028,2204,2135,70,67,39,29,26,238,2,29,0,0,3,0,26
5469,1306,1243,1344,1322,98,99,77,22,23,533,5,16,22,0,0,0,0
5216,2216,2050,21,2308,125,138,109,73,86,852,3,13,73,0,0,0,0
5412,1200,1116,1244,1206,104,110,74,38,44,552,3,27,33,0,0,0,5
5557,1445,1307,1631,1425,106,78,86,126,98,433,3,17,27,0,28,0,71
5508,1500,1411,1712,1628,72,77,58,44,49,352,7,7,0,0,0,0,44
191,1104,1035,1546,1520,162,165,140,26,29,1084,6,16,26,0,0,0,0
549,1724,1506,2006,1730,162,144,139,156,138,1011,6,17,0,0,18,0,138
140,1007,950,1212,1150,125,120,90,22,17,594,6,29,0,0,22,0,0
664,1419,1359,1656,1640,157,161,147,16,20,1057,3,7,16,0,0,0,0
235,1004,1005,1219,1147,135,102,90,32,-1,545,4,41,0,0,32,0,0
716,1429,1212,1652,1420,143,128,113,152,137,758,17,13,137,0,15,0,0
3393,1542,1545,1724,1650,102,65,53,34,-3,282,2,47,0,0,34,0,0
3172,1332,1215,1444,1330,72,75,60,74,77,342,4,8,39,0,0,0,35
3741,1349,1330,1505,1450,76,80,62,15,19,351,4,10,8,0,0,0,7
3879,1939,1910,2042,2020,63,70,44,22,29,281,3,16,22,0,0,0,0
3157,1445,1400,1601,1520,76,80,61,41,45,342,6,9,36,0,0,0,5
4124,1404,1330,1447,1420,43,50,26,27,34,135,5,12,27,0,0,0,0
3423,841,835,1227,1210,166,155,138,17,6,1021,6,22,6,0,11,0,0
3769,1553,1555,1727,1710,94,75,56,17,-2,364,2,36,0,0,17,0,0
3725,2005,1920,2332,2245,147,145,127,47,45,922,3,17,35,0,2,0,10
272,1322,1238,1948,1845,266,247,234,63,44,1807,7,25,2,0,19,0,42
755,1958,1910,2054,2012,116,122,85,42,48,528,5,26,42,0,0,0,0
1704,1012,1015,1400,1338,168,143,122,22,-3,931,8,38,0,0,22,0,0
221,1257,1145,1504,1345,247,240,226,79,72,1589,3,18,0,0,79,0,0
736,725,700,1056,1038,151,158,126,18,25,1028,10,15,18,0,0,0,0
327,945,920,1119,1055,94,95,75,24,25,408,8,11,24,0,0,0,0
6438,1700,1640,1825,1745,145,125,91,40,20,596,5,49,20,0,20,0,0
6650,1140,1140,1518,1459,158,139,112,19,0,740,10,36,0,0,19,0,0
6471,1733,1546,1826,1652,113,126,96,94,107,677,6,11,0,0,0,0,94
5655,1301,1038,1346,1121,45,43,27,145,143,86,4,14,0,0,2,0,143
6595,1012,913,1133,1038,81,85,58,55,59,391,7,16,55,0,0,0,0
6386,1658,1601,1923,1832,85,91,62,51,57,522,4,19,0,0,0,0,51
5485,732,711,823,757,51,46,26,26,21,110,4,21,21,0,5,0,0
5914,2205,2115,32,2358,87,103,72,34,50,607,4,11,34,0,0,0,0
5525,1640,1439,1720,1525,40,46,30,115,121,86,5,5,0,0,0,0,115
6752,1038,913,1132,1019,114,126,95,73,85,607,6,13,0,0,0,0,73
5426,2316,2227,8,2307,52,40,22,61,49,86,6,24,0,0,12,0,49
5737,1251,1055,1346,1156,55,61,42,110,116,153,3,10,0,0,0,0,110
5528,1802,1558,2021,1730,139,92,104,171,124,316,7,28,0,0,50,0,121
2752,1142,1050,1242,1155,60,65,46,47,52,311,7,7,0,0,0,0,47
5783,1348,1125,1514,1259,86,94,61,135,143,304,4,21,0,0,0,0,135
5739,707,700,934,915,147,135,126,19,7,462,7,14,0,0,19,0,0
5792,2028,1800,2250,2010,142,130,126,160,148,462,4,12,0,0,81,0,79
6352,1851,1609,2049,1807,118,118,99,162,162,751,5,14,0,0,0,0,162
5951,931,822,1057,1000,86,98,68,57,69,491,5,13,57,0,0,0,0
5930,1503,1305,1624,1430,81,85,65,114,118,421,5,11,0,0,0,0,114
5450,1934,1505,2016,1550,42,45,22,266,269,77,4,16,110,0,0,0,156
5498,649,649,840,807,111,78,76,33,0,250,23,12,0,0,33,0,0
5477,1701,1440,1759,1546,58,66,37,133,141,158,2,19,0,0,0,0,133
6695,1339,1317,1526,1503,107,106,87,23,22,563,6,14,0,0,1,0,22
6715,1751,1757,2013,1956,142,119,99,17,-6,679,7,36,0,0,17,0,0
5512,720,657,755,740,35,43,20,15,23,49,5,10,15,0,0,0,0
2870,734,720,908,852,94,92,69,16,14,475,6,19,12,0,2,0,2
5590,802,740,901,840,59,60,36,21,22,158,3,20,13,0,0,0,8
5647,1733,1605,1903,1719,90,74,80,104,88,262,5,5,0,0,104,0,0
5741,1404,1225,1455,1300,51,35,37,115,99,78,5,9,0,0,27,0,88
4749,1532,1510,1624,1601,112,111,85,23,22,558,3,24,22,0,1,0,0
6095,1717,1538,1840,1644,143,126,116,116,99,599,7,20,0,0,98,0,18
5568,1441,1213,1623,1333,102,80,74,170,148,262,7,21,0,0,163,0,7
2559,1023,915,1130,1025,67,70,51,65,68,311,3,13,30,0,0,0,35
749,1318,1158,1436,1308,78,70,61,88,80,192,6,11,0,0,8,0,80
372,729,730,944,919,135,109,98,25,-1,550,7,30,0,0,25,0,0
139,1015,955,1307,1234,292,279,261,33,20,1846,8,23,0,0,33,0,0
1171,1543,1510,1807,1655,144,105,124,72,33,550,6,14,0,0,72,0,0
1155,1149,1040,1341,1209,112,89,59,92,69,337,12,41,0,0,92,0,0
1170,1813,1814,2001,1936,108,82,79,25,-1,337,10,19,0,0,25,0,0
407,1809,1759,2019,1950,190,171,147,29,10,1024,6,37,10,0,19,0,0
701,1641,1621,1730,1708,109,107,83,22,20,533,12,14,20,0,2,0,0
1465,923,830,1021,927,118,117,94,54,53,629,7,17,53,0,1,0,0
1509,2048,2005,2153,2120,65,75,45,33,43,236,6,14,33,0,0,0,0
595,1916,1759,2116,1938,180,159,148,98,77,967,6,26,0,0,98,0,0
69,1521,1410,1808,1710,347,360,330,58,71,2615,6,11,58,0,0,0,0
306,1458,1320,2303,2116,305,296,279,107,98,2329,5,21,98,0,9,0,0
1177,916,835,1038,943,142,128,123,55,41,599,4,15,0,0,55,0,0
888,1327,1115,1449,1247,82,92,54,122,132,337,11,17,27,0,0,0,95
162,915,900,1753,1730,338,330,301,23,15,2611,7,30,15,0,8,0,0
746,2027,2001,2203,2132,96,91,73,31,26,447,7,16,0,0,31,0,0
1432,1653,1553,2237,2124,224,211,198,73,60,1545,5,21,56,0,13,0,4
551,1716,1611,2031,1940,135,149,114,51,65,967,9,12,0,0,0,0,51
1275,1013,1015,1156,1137,103,82,72,19,-2,326,7,24,0,0,19,0,0
382,900,830,1145,1120,105,110,89,25,30,589,5,11,0,25,0,0,0
1632,1103,1004,1638,1535,215,211,193,63,59,1545,7,15,0,0,4,0,59
104,1540,1547,1739,1715,119,88,81,24,-7,447,15,23,0,0,24,0,0
200,1427,1352,2014,1939,227,227,204,35,35,1721,9,14,0,0,0,35,0
55,1301,1234,1542,1445,161,131,115,57,27,679,7,39,0,0,57,0,0
179,1853,1812,2235,2155,402,403,377,40,41,2704,9,16,24,0,0,0,16
886,1933,1745,2059,1920,86,95,71,99,108,448,2,13,82,0,0,0,17
1586,2325,2215,56,2351,91,96,61,65,70,448,9,21,65,0,0,0,0
103,925,935,1107,1049,102,74,47,18,-10,236,32,23,0,0,18,0,0
745,1738,1650,2019,1921,341,331,307,58,48,2296,4,30,0,0,58,0,0
1545,931,940,1411,1240,460,360,343,91,-9,2378,43,74,0,0,91,0,0
291,1224,1140,1454,1426,150,166,118,28,44,866,9,23,0,0,0,0,28
1563,1157,1200,1502,1446,185,166,151,16,-3,992,5,29,0,0,16,0,0
730,1622,1625,1934,1910,192,165,150,24,-3,992,10,32,0,0,24,0,0
1483,1511,1345,2245,2125,274,280,254,80,86,2254,5,15,0,0,0,0,80
321,1611,1600,1723,1707,72,67,46,16,11,256,7,19,11,0,5,0,0
2897,1942,1915,2227,2205,105,110,88,22,27,632,5,12,7,0,0,0,15
2653,2036,1940,2235,2155,119,135,109,40,56,651,4,6,0,0,40,0,0
2380,2051,2030,2223,2200,92,90,81,23,21,447,4,7,0,0,23,0,0
1588,1748,1700,1749,1705,61,65,44,44,48,289,4,13,0,0,0,0,44
2724,1936,1715,2226,2000,170,165,156,146,141,1142,4,10,1,0,5,0,140
2326,1322,1310,1903,1845,221,215,204,18,12,1670,4,13,6,0,6,0,6
1909,1117,920,1244,1035,87,75,70,129,117,337,3,14,0,0,129,0,0
2815,1624,1605,1747,1710,83,65,72,37,19,293,3,8,0,0,37,0,0
2784,1209,1155,1905,1850,236,235,217,15,14,1772,4,15,14,0,1,0,0
2912,1428,1310,1627,1510,119,120,97,77,78,651,8,14,50,0,0,0,27
1822,1404,1345,1627,1610,83,85,70,17,19,443,5,8,2,0,0,0,15
1201,1522,1315,2037,1850,195,215,183,107,127,1521,2,10,0,0,0,0,107
2510,1500,1415,1656,1605,116,110,103,51,45,670,5,8,45,0,6,0,0
2795,1554,1555,1754,1730,180,155,167,24,-1,957,3,10,0,0,24,0,0
2324,1628,1525,1909,1825,101,120,84,44,63,629,5,12,0,0,0,0,44
2988,958,950,1248,1230,110,100,85,18,8,602,8,17,7,0,10,0,1
1966,1949,1830,2241,2130,112,120,97,71,79,704,3,12,71,0,0,0,0
2891,1016,1000,1406,1345,170,165,149,21,16,1117,8,13,16,0,5,0,0
2848,1925,1855,2215,2128,170,153,131,47,30,984,4,35,0,0,17,30,0
2194,1917,1740,2113,1925,176,165,144,108,97,986,6,26,97,0,11,0,0
1291,1536,1540,1747,1717,131,97,59,30,-4,200,9,63,0,0,30,0,0
7060,1625,1518,1818,1724,53,66,36,54,67,224,4,13,54,0,0,0,0
7332,1228,1223,1427,1404,119,101,82,23,5,515,5,32,23,0,0,0,0
7244,1918,1838,2009,1931,51,53,27,38,40,94,5,19,0,0,0,0,38
7110,1438,1349,1733,1657,115,128,99,36,49,773,4,12,0,0,0,0,36
7316,1400,1147,1753,1556,173,189,155,117,133,1190,7,11,117,0,0,0,0
5815,1408,1400,1720,1702,132,122,91,18,8,689,24,17,0,0,10,0,8
2608,659,620,836,756,97,96,67,40,39,432,13,17,0,39,1,0,0
2292,1416,1355,1559,1529,103,94,80,30,21,490,5,18,21,0,9,0,0
2645,700,701,808,750,128,109,74,18,-1,511,8,46,0,0,18,0,0
2517,1710,1635,2040,2013,150,158,126,27,35,900,10,14,0,0,0,0,27
2207,914,915,1224,1153,130,98,86,31,-1,576,5,39,0,0,31,0,0
2565,913,845,1004,940,111,115,85,24,28,534,6,20,24,0,0,0,0
2277,1415,1128,1543,1255,88,87,68,168,167,417,6,14,0,0,1,0,167
2838,1743,1620,1827,1720,44,60,33,67,83,184,7,4,0,0,0,0,67
487,1810,1815,2147,2115,217,180,141,32,-5,1013,10,66,0,0,32,0,0
1945,1907,1845,2105,2035,118,110,88,30,22,595,13,17,14,0,8,0,8
1599,1650,1430,1903,1635,253,245,210,148,140,1515,13,30,0,0,126,0,22
539,1928,1810,2029,1905,181,175,147,84,78,1055,18,16,0,0,84,0,0
1679,1551,1505,1729,1700,158,175,138,29,46,1012,7,13,4,0,0,0,25
144,1548,1550,2359,2335,311,285,283,24,-2,2288,13,15,0,0,24,0,0
1758,1935,1855,2024,1955,49,60,31,29,40,193,5,13,5,0,0,0,24
792,2011,1900,2257,2150,226,230,203,67,71,1565,6,17,67,0,0,0,0
566,1540,1525,2109,2045,209,200,181,24,15,1464,6,22,3,0,9,0,12
780,719,600,1105,955,166,175,150,70,79,1197,4,12,70,0,0,0,0
716,725,700,1058,1035,153,155,134,23,25,1005,6,13,23,0,0,0,0
302,1823,1750,2003,1935,100,105,84,28,33,583,2,14,28,0,0,0,0
734,1929,1500,2152,1725,143,145,115,267,269,920,3,25,45,0,0,0,222
1819,1323,1250,1658,1630,155,160,132,28,33,1121,13,10,28,0,0,0,0
1578,1559,1555,1813,1755,134,120,87,18,4,595,26,21,0,0,18,0,0
1213,1827,1640,1958,1840,151,180,135,78,107,929,5,11,1,0,0,0,77
1345,1400,1405,1701,1640,301,275,241,21,-5,1745,25,35,0,0,21,0,0
1333,2104,2010,2349,2325,225,255,202,24,54,1562,5,18,24,0,0,0,0
1016,1840,1825,2236,2210,176,165,157,26,15,1213,4,15,0,0,26,0,0
1790,1156,1430,1718,1930,202,180,159,1308,1286,1372,4,39,1194,0,22,0,92
283,1121,1115,1417,1400,356,345,316,17,6,2342,15,25,0,0,11,0,6
585,1935,1935,2213,2156,158,141,130,17,0,859,8,20,0,0,17,0,0
187,1438,1340,1543,1439,65,59,42,64,58,261,13,10,58,0,6,0,0
6,1316,1304,2118,2059,302,295,283,19,12,2311,3,16,12,0,7,0,0
610,1731,1535,1952,1805,141,150,113,107,116,866,12,16,0,0,107,0,0
65,1339,1305,1528,1455,109,110,81,33,34,571,4,24,33,0,0,0,0
721,2203,2140,2321,2257,78,77,58,24,23,337,7,13,23,0,1,0,0
621,1351,1315,1601,1538,130,143,117,23,36,762,4,9,0,0,0,0,23
654,2131,1935,53,2315,142,160,122,98,116,1009,3,17,0,0,0,0,98
314,1506,1430,1712,1638,126,128,103,34,36,679,7,16,0,0,0,0,34
111,1638,1630,1937,1910,179,160,154,27,8,1050,7,18,8,0,19,0,0
483,2014,1230,2316,1520,182,170,162,476,464,1050,5,15,464,0,12,0,0
681,1157,1100,1350,1244,173,164,143,66,57,992,3,27,57,0,9,0,0
311,1754,1730,1954,1939,120,129,101,15,24,679,6,13,0,0,0,0,15
106,2335,2245,356,309,201,204,187,47,50,1449,4,10,47,0,0,0,0
125,1129,810,1334,1048,245,278,214,166,199,1626,6,25,166,0,0,0,0
619,2137,2059,13,2350,156,171,121,23,38,829,7,28,9,0,0,0,14
586,2247,2005,117,2301,150,176,130,136,162,1098,5,15,134,0,0,0,2
1017,1900,1831,2018,2000,78,89,52,18,29,187,6,20,18,0,0,0,0
511,1848,1550,2215,1849,207,179,156,206,178,1065,3,48,0,0,28,0,178
1635,1736,1630,2122,2011,346,341,276,71,66,2133,13,57,25,0,5,0,41
576,1542,1200,1852,1455,190,175,158,237,222,1068,5,27,222,0,15,0,0
280,703,705,1412,1356,249,231,222,16,-2,1825,5,22,0,0,16,0,0
1544,1106,1015,1440,1353,154,158,134,47,51,1091,5,15,47,0,0,0,0
1420,1052,1042,1427,1338,155,116,96,49,10,689,7,52,10,0,39,0,0
849,1849,1804,2124,2040,155,156,108,44,45,745,11,36,8,0,0,0,36
879,858,845,1034,1010,96,85,61,24,13,406,5,30,13,0,11,0,0
147,1846,1654,2148,1925,182,151,104,143,112,745,16,62,0,0,31,0,112
991,612,612,857,832,165,140,106,25,0,749,33,26,0,0,25,0,0
696,1344,1345,1940,1925,236,220,197,15,-1,1589,16,23,0,0,15,0,0
1283,1842,1830,2015,1958,93,88,61,17,12,356,20,12,0,0,5,0,12
1512,1123,1120,1721,1656,238,216,198,25,3,1589,10,30,0,0,25,0,0
686,2056,1652,2317,2000,141,188,124,197,244,1005,6,11,0,0,0,0,197
792,1918,1905,2035,2013,137,128,100,22,13,606,7,30,13,0,9,0,0
1718,2141,2116,2338,2323,117,127,94,15,25,749,3,20,0,0,15,0,0
1528,2037,2000,2202,2126,85,86,53,36,37,356,9,23,0,0,0,0,36
9,2050,2020,2214,2135,84,75,46,39,30,270,7,31,26,0,9,0,4
44,1154,1140,1906,1846,252,246,226,20,14,1865,7,19,14,0,6,0,0
1676,1709,1702,1926,1909,77,67,38,17,7,214,13,26,0,0,10,0,7
1558,1706,1626,1743,1704,97,98,62,39,40,425,10,25,0,0,0,0,39
1636,747,750,916,859,89,69,51,17,-3,215,21,17,0,0,17,0,0
1423,1008,1000,1609,1541,241,221,213,28,8,1565,4,24,8,0,20,0,0
1630,959,935,1147,1121,108,106,74,26,24,515,6,28,24,0,2,0,0
5021,1449,1250,1650,1458,61,68,39,112,119,214,8,14,0,0,0,0,112
5107,1756,1745,1901,1840,65,55,38,21,11,143,17,10,0,0,10,0,11
5092,1231,1212,1526,1500,115,108,83,26,19,579,18,14,8,0,7,0,11
5644,958,842,1112,940,74,58,31,92,76,191,4,39,76,0,16,0,0
5261,1915,1757,2051,1925,96,88,54,86,78,321,30,12,0,0,8,0,78
5441,1943,1846,2038,1944,55,58,30,54,57,164,3,22,54,0,0,0,0
5002,1317,1211,1455,1400,98,109,84,55,66,644,4,10,55,0,0,0,0
5367,1245,1245,1419,1359,94,74,64,20,0,300,12,18,0,0,20,0,0
5609,1259,1205,1410,1327,71,82,53,43,54,389,2,16,0,0,0,0,43
5500,1458,1355,1747,1701,109,126,94,46,63,669,7,8,0,0,0,0,46
5555,1751,1705,1921,1819,90,74,42,62,46,227,5,43,46,0,16,0,0
5460,1231,1215,1500,1436,149,141,117,24,16,903,3,29,16,0,8,0,0
5500,1329,1215,1429,1322,120,127,94,67,74,669,7,19,67,0,0,0,0
438,2016,1905,2236,2128,80,83,65,68,71,472,5,10,4,0,0,0,64
859,1910,1805,2108,1958,118,113,91,70,65,602,5,22,65,0,5,0,0
773,1956,1805,2146,1901,170,116,102,165,111,629,14,54,65,0,56,0,44
285,1607,1515,1905,1813,118,118,100,52,52,770,7,11,3,0,49,0,0
144,1232,1040,1546,1401,134,141,117,105,112,861,7,10,105,0,0,0,0
821,2107,1933,2145,2022,98,109,81,83,94,533,9,8,0,0,6,0,77
789,2222,2155,2321,2254,119,119,99,27,27,629,10,10,0,0,17,0,10
724,1144,1150,1714,1659,210,189,188,15,-6,1476,7,15,0,0,15,0,0
771,2044,1945,2223,2125,279,280,240,58,59,1747,13,26,0,0,58,0,0
3135,2210,2110,2317,2225,67,75,53,52,60,308,4,10,0,0,0,0,52
3164,1516,1505,1644,1625,88,80,71,19,11,417,1,16,0,0,8,0,11
3169,1105,1015,1246,1145,101,90,69,61,50,372,7,25,0,0,11,0,50
4122,738,725,842,820,124,115,95,22,13,473,6,23,13,0,9,0,0
3676,1256,1150,1509,1420,133,150,111,49,66,821,13,9,42,0,0,0,7
3140,1604,1540,1718,1700,74,80,52,18,24,308,8,14,2,0,0,0,16
4236,1907,1725,1933,1805,86,100,62,88,102,316,5,19,44,0,39,0,5
4676,1322,1325,1512,1430,110,65,45,42,-3,213,6,59,0,0,42,0,0
3001,1359,1350,1501,1440,62,50,26,21,9,109,21,15,4,0,12,0,5
3471,2102,2045,2225,2205,83,80,58,20,17,383,5,20,17,0,3,0,0
3928,1956,1910,2049,2000,53,50,24,49,46,135,3,26,46,0,3,0,0
3953,1314,1215,1354,1310,40,55,25,44,59,109,5,10,0,0,0,0,44
4028,2028,1950,2236,2210,128,140,108,26,38,837,3,17,24,0,0,0,2
3158,1602,1445,1725,1605,83,80,61,80,77,342,3,19,0,0,3,0,77
3021,1336,1315,1436,1405,60,50,32,31,21,109,10,18,0,0,10,0,21
3675,1032,910,1255,1125,143,135,121,90,82,821,8,14,82,0,8,0,0
3167,1442,1445,1632,1615,110,90,73,17,-3,372,15,22,0,0,17,0,0
3724,1911,1830,2028,1950,77,80,59,38,41,354,7,11,0,0,0,0,38
1774,2122,2122,2315,2259,113,97,64,16,0,453,11,38,0,0,16,0,0
452,1527,1445,1618,1540,51,55,30,38,42,129,7,14,38,0,0,0,0
263,1715,1537,1915,1757,240,260,213,78,98,1671,4,23,78,0,0,0,0
1766,1644,1625,1741,1717,57,52,28,24,19,129,5,24,0,0,5,0,19
879,1512,1440,1721,1649,249,249,227,32,32,1619,8,14,32,0,0,0,0
179,835,835,1103,1046,268,251,214,17,0,1619,40,14,0,0,17,0,0
1632,911,850,1305,1237,174,167,142,28,21,1076,13,19,21,0,7,0,0
805,1515,1450,1933,1858,378,368,349,35,25,2640,9,20,1,0,10,0,24
208,2203,2210,527,512,264,242,243,15,-7,1927,5,16,0,0,15,0,0
1198,1925,1800,224,48,239,228,208,96,85,1750,10,21,0,0,11,0,85
704,1337,1332,1537,1517,120,105,87,20,5,632,7,26,0,0,20,0,0
6556,1325,1310,1500,1433,95,83,74,27,15,411,5,16,15,0,12,0,0
4813,1145,1055,1325,1159,160,124,96,86,50,599,6,58,0,0,76,0,10
5806,1630,1605,1709,1649,99,104,82,20,25,541,8,9,0,0,0,0,20
4380,1901,1850,2035,2015,94,85,56,20,11,373,6,32,2,0,9,0,9
5441,1851,1836,1947,1927,56,51,35,20,15,110,7,14,0,0,5,0,15
4800,947,940,1108,1049,141,129,102,19,7,689,5,34,7,0,12,0,0
5716,2114,2050,2154,2131,40,41,23,23,24,78,2,15,0,0,0,0,23
5727,710,710,816,759,66,49,55,17,0,170,4,7,0,0,17,0,0
5525,1516,1221,1601,1306,45,45,22,175,175,86,4,19,12,0,0,0,163
5490,2155,2054,2314,2210,79,76,56,64,61,262,3,20,2,0,3,0,59
2568,1906,1825,2105,2030,59,65,46,35,41,284,3,10,35,0,0,0,0
5763,919,816,1109,1016,110,120,96,53,63,412,7,7,0,0,36,0,17
5788,1823,1642,1959,1813,96,91,67,106,101,258,5,24,0,0,5,0,101
4697,1745,1514,1820,1544,95,90,67,156,151,368,7,21,0,0,156,0,0
5986,1313,1310,1538,1514,85,64,40,24,3,240,6,39,0,0,21,0,3
5462,2057,2035,2151,2126,54,51,30,25,22,110,5,19,0,0,3,0,22
5536,1926,1829,2041,1938,75,69,52,63,57,209,5,18,0,0,6,0,57
5441,2015,1959,2105,2049,50,50,31,16,16,110,7,12,0,0,0,0,16
5476,1431,1324,1533,1445,62,81,52,48,67,250,3,7,0,0,0,0,48
5594,2112,1953,2156,2046,44,53,30,70,79,109,3,11,70,0,0,0,0
4758,658,600,932,842,94,102,79,50,58,558,4,11,50,0,0,0,0
2515,1845,1820,2107,2045,82,85,64,22,25,431,6,12,7,0,0,0,15
4843,1652,1635,1735,1719,103,104,84,16,17,532,3,16,13,0,0,0,3
5428,1651,1620,1812,1736,81,76,67,36,31,250,5,9,0,0,5,0,31
6370,2009,1933,2138,2056,89,83,64,42,36,363,8,17,0,0,27,0,15
5478,1235,1143,1410,1304,95,81,63,66,52,250,2,30,20,0,14,0,32
5961,1721,1646,1812,1739,51,53,27,33,35,130,4,20,33,0,0,0,0
6365,1926,1906,2042,2015,136,129,99,27,20,599,4,33,0,0,25,0,2
6533,1453,1427,1626,1608,93,101,77,18,26,458,3,13,18,0,0,0,0
